"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
2.3521082,5.7234592,4.3099375,3.7767694,6.563245,3.057405,7.656952,6.3892827,7.198308,3.558943,5.0927315,5.4928126,2.432978,4.121342,4.9165974,3.4061842,4.136572,4.7346296,3.2475524,1.9062115,2.2036076,4.6900415,6.279323,6.842872,5.511319,6.5999947,5.4062433,3.1737378,2.6870608,6.32486,9.811302,1.821834,7.3957934,4.0269437,5.8993526,5.2561994,5.583443,4.730663,6.7112584,4.578679,4.586997,3.4397812,4.3421655,5.061278,3.0325549,4.4200454,3.2011204,3.4875858,3.1116428,6.000203,4.47765,5.034591,4.480155,3.5055518,6.102455,4.259233,5.0627794,8.410541,5.915315,2.6908844,4.691847,2.612857
2.4037647,6.208924,4.383776,4.3100696,6.7776375,3.3460152,8.335359,6.6457133,7.5875206,4.002056,5.8338323,5.834646,2.9955578,4.5624814,5.267331,3.6394007,4.4097853,5.0482817,3.4689364,2.0949693,2.248202,4.9059925,6.6587605,6.922297,5.75511,6.845595,5.6387544,3.4796917,3.0556302,6.558574,10.441756,2.237448,7.8335524,4.154875,6.1865325,5.4390798,5.96217,5.1745234,7.16893,4.5980964,5.050217,3.6979938,4.791563,5.416061,3.3052087,4.860925,3.620466,3.7889388,3.4300702,6.090687,4.9045463,5.463671,4.829196,3.814609,6.315794,4.640705,5.7880883,8.548304,6.3115177,3.1326778,4.9882245,3.3760226
2.384185,6.2223454,4.3830028,4.2651596,6.771491,3.3227236,8.309082,6.641645,7.585247,3.9890885,5.798783,5.8074284,2.9850228,4.5535493,5.252459,3.6313026,4.400022,5.0540123,3.4581068,2.0796375,2.2383893,4.8899817,6.6394897,6.915949,5.7504096,6.839606,5.6379213,3.452114,3.0378618,6.52895,10.419981,2.217624,7.8039937,4.140131,6.1726375,5.422611,5.9363832,5.188252,7.1332335,4.5972214,5.0219684,3.6827166,4.76847,5.411713,3.2911258,4.8255157,3.5740285,3.7888122,3.4459355,6.0898085,4.874813,5.4436536,4.8130507,3.8162549,6.311045,4.6244664,5.755539,8.548768,6.29282,3.1115546,4.959103,3.2921824
2.4660578,6.532618,4.3808775,4.5286827,6.938427,3.5082152,8.566373,6.7673593,7.710741,4.190818,6.1232934,5.9401946,3.1963215,4.718214,5.4219637,3.664466,4.51517,5.201484,3.5262313,2.1811376,2.2750971,5.0916615,6.8554883,6.997549,5.865932,7.030538,5.8002706,3.657577,3.2741313,6.6044908,10.654765,2.3859632,8.017245,4.1952286,6.234546,5.5141664,6.1237903,5.2922525,7.325683,4.639098,5.333131,3.8654757,4.836152,5.484718,3.4141154,5.0359445,3.817695,4.015925,3.4519324,6.199317,4.9878845,5.747897,4.961084,3.8553646,6.471969,4.722344,6.230315,8.652469,6.3802276,3.2483299,5.130011,3.8241386
2.2749827,4.5777974,3.9861727,2.9992893,6.104033,2.7480233,6.8076487,6.0384355,6.4988074,2.9249043,4.116819,5.1441073,1.6691108,3.3886874,4.435176,3.1542358,3.7394211,4.1812096,2.990101,1.6730932,2.2371821,4.2920866,5.83185,6.7543817,5.131114,6.0908394,4.8788347,2.7808096,2.1315958,5.943433,8.689884,1.2268422,6.687449,3.859902,5.5394874,5.0757422,5.131579,3.74612,6.047396,4.580784,3.938527,3.010612,3.7279396,4.5567517,2.648798,3.879335,2.7158399,2.7026966,2.497711,5.828703,3.880677,4.3672433,4.0253744,3.049117,5.6929865,3.7243824,4.0320287,8.117761,5.334821,2.0001378,4.3461833,1.4229925
2.373332,6.189476,4.382338,4.2296085,6.749078,3.2992516,8.272244,6.628938,7.564675,3.961627,5.75965,5.7865257,2.9618578,4.5309405,5.2305717,3.6266975,4.3865085,5.0457153,3.4464371,2.06512,2.2311585,4.862958,6.61494,6.9063025,5.7333994,6.8133445,5.6236744,3.4221354,3.0076692,6.5122604,10.389644,2.1951544,7.776158,4.130092,6.162471,5.4078283,5.9145823,5.182456,7.103873,4.5954695,4.984706,3.6571858,4.7560587,5.4011984,3.2728646,4.7932467,3.5384755,3.7821915,3.4538832,6.0856395,4.8543305,5.4090753,4.7940073,3.8122845,6.293201,4.6077733,5.704747,8.533178,6.278665,3.0911834,4.9306498,3.2217164
2.3989894,6.163787,4.385044,4.280118,6.755403,3.3219435,8.294833,6.629867,7.5622945,3.9798813,5.7888827,5.805887,2.9710703,4.539661,5.2435665,3.637544,4.399644,5.0434227,3.457425,2.0857549,2.2392476,4.881052,6.6353664,6.9186497,5.743271,6.8114815,5.630049,3.4538023,3.0314472,6.5491104,10.398748,2.2176125,7.801251,4.1489973,6.180787,5.4226627,5.9450717,5.1481185,7.1413493,4.595157,5.0178266,3.6746058,4.770404,5.400818,3.2813025,4.838599,3.5854344,3.7812865,3.418638,6.0883994,4.882529,5.430343,4.8083625,3.8044302,6.2865186,4.6251416,5.735144,8.540583,6.29497,3.106572,4.9657273,3.325481
2.478223,6.547817,4.377737,4.5615015,6.948458,3.544848,8.5873165,6.7799964,7.70557,4.210748,6.1585145,5.962267,3.228689,4.72132,5.443315,3.6687346,4.534134,5.2179384,3.5367723,2.1941695,2.279883,5.1142883,6.880025,7.005833,5.8732853,7.045255,5.8176336,3.6822584,3.2961154,6.615923,10.684847,2.4050012,8.051666,4.20346,6.238104,5.5257273,6.153616,5.2994246,7.3594527,4.6495633,5.363344,3.8799691,4.8475947,5.4910045,3.4276924,5.05401,3.857655,4.039358,3.4640222,6.2111697,5.00504,5.786714,4.978973,3.859266,6.49183,4.727352,6.280604,8.660159,6.391,3.2562103,5.1438093,3.8997974
2.2892153,5.258976,4.1768417,3.4539983,6.380413,2.9235578,7.3139806,6.249578,6.918556,3.300752,4.6949177,5.3443565,2.1225035,3.826373,4.719398,3.2985175,3.9730299,4.5130777,3.1413884,1.8097099,2.2072823,4.5302014,6.096699,6.8068967,5.3569098,6.3909287,5.1929975,3.012412,2.459103,6.16925,9.352149,1.5785127,7.1088533,3.9554024,5.7530274,5.182052,5.3946433,4.326852,6.4408717,4.5784216,4.323266,3.2673578,4.0890136,4.852218,2.8753493,4.1963434,2.9991803,3.1743317,2.862952,5.928986,4.2344775,4.7607164,4.295325,3.316477,5.9348116,4.038907,4.6306624,8.29563,5.6749444,2.4077291,4.549632,2.1241732
2.2919931,5.602807,4.2852182,3.691769,6.536233,3.0039394,7.5704885,6.360978,7.1651626,3.5018356,4.997448,5.4399,2.372431,4.0506225,4.864322,3.375438,4.0967293,4.697853,3.2211115,1.8729062,2.1916416,4.6545205,6.2342863,6.8389373,5.478511,6.557133,5.3585796,3.1353014,2.6211271,6.282677,9.683203,1.7662507,7.337322,3.993354,5.864682,5.2348495,5.528848,4.636935,6.644001,4.5691843,4.520652,3.4065797,4.2782435,5.0124283,2.9906304,4.3609276,3.1325088,3.4380167,3.054802,5.985893,4.4284196,4.958832,4.4345345,3.4625878,6.0619507,4.205587,4.9231296,8.38819,5.851421,2.6121757,4.648999,2.4503253
